accurate_back_zone_pass,"A pass that is successful and ends in a player’s own half of the pitch (excludes throw ins, goal kicks and keeper throws)"
accurate_corners_intobox,Accurate corner distributions into the box – can include long balls if the corner kick is passed greater than 35 yards
accurate_cross,"Accurate crosses (via corners, open play and set pieces) "
accurate_cross_nocorner,Accurate crosses in open play ie no set pieces at all
accurate_fwd_zone_pass,"An accurate pass that ends in the attacking half of the pitch (including crosses but excluding throw ins, goal kicks and keeper throws)"
accurate_goal_kicks,Accurate goal kicks (from goalkeeper)
accurate_keeper_throws,Accurate throws from the goalkeeper in open play
accurate_launches,Long ball played forward without an obvious target but successfully finds a teammate
accurate_layoffs,A successful pass by a striker who has received the ball with his back to goal and is played back towards team-mates
accurate_long_balls,"Accurate passes that have a distance greater than 35 yards (excluding throw ins, crosses, keeper throws and goal kicks)"
accurate_pass,All accurate passes (excluding crosses)
accurate_through_ball,Accurate passes that leave a player one on one with the goalkeeper 
accurate_throws,All accurate throw ins
aerial_lost,Unsuccessful aerial duels (the definition of an aerial duel is that it is between two players - either both jumping or only one jumping and the other contesting the header by making it difficult to win - and one player has to win the contest with a header OR if it is between an outfield player and a goalkeeper then the goalkeeper is allowed to punch it clear)
aerial_won,Successful aerial duels
att_bx_centre,Shot from the centre of the box
att_obx_centre,Total shots from outside the box in the centre (less than 35 yards)
att_corner,Shot that came after a corner was taken
att_fastbreak,Shot resulting from a counter attack
att_freekick_goal,Goal from a direct free kick
att_freekick_target,A direct free kick saved by the goalkeeper (ie not blocked by an outfield player on the line)
att_freekick_total,Total shots from direct free kicks
att_goal_high_centre,A goal in the top centre of the goal
att_goal_high_left,A goal in the top left of the goal
att_goal_high_right,A goal in the top right of the goal
att_goal_low_centre,A goal in the bottom centre of the goal 
att_goal_low_left,A goal in the bottom left of the goal
att_goal_low_right,A goal in the bottom right of the goal 
att_hd_goal,A headed goal
att_hd_miss,A headed attempt off target of the goal
att_hd_post,A headed attempt that hits the woodwork
att_hd_target,A headed attempt that is saved by the goalkeeper (ie not blocked by an outfield player on the line)
att_hd_total,Total headed attempts
att_ibox_blocked,Shot attempt from inside the box that is blocked (excludes any shots saved/cleared off the line in a defensive act – this is not the same as a regular goalkeeper save on the line)
att_ibox_goal,Goals from shots inside the box
att_ibox_miss,Attempts off target from shots inside the box
att_ibox_post,Post/crossbar hit from shots inside the box
att_ibox_target,Shot from inside the box that are saved by the goalkeeper (ie not blocked by an outfield player on the line)
att_lf_goal,Goal from a left footed shot
att_lf_target,Left footed shot that was saved by the goalkeeper (ie not blocked by an outfield player on the line)
att_lf_total,Total left footed shots
att_miss_high,Attempt that misses over the crossbar
att_miss_high_left,Attempt that misses over the crossbar and left 
att_miss_high_right,Attempt that misses over the crossbar and right 
att_miss_left,Attempt that misses to the left
att_miss_right,Attempt that misses to the right
att_obox_blocked,Shot from outside the box that is blocked before reaching the goal (excludes any shots saved/cleared off the line in a defensive act – this is not the same as a regular goalkeeper save on the line)
att_obox_goal,Goal from a shot outside the box
att_obox_miss,Shot off that misses the goal completely that is from outside the box
att_obox_post,Shot from outside the box that hit the woodwork
att_obox_target,Shot from outside the box that was saved by the goalkeeper (ie not blocked by an outfield player on the line)
att_obp_goal,Goal with other body part
att_one_on_one,A shot attempt where the attacker was in a one on one situation against the goal keeper
att_openplay,A shot attempt that came in ‘regular play’ or in a fast break 
att_pen_goal,Penalty goals
att_pen_miss,Penalty shot that goes wide of the goal or over the crossbar 
att_pen_post,Penalties that hit the woodwork
att_pen_target,Penalty that was saved by the goalkeeper 
att_post_high,Shots that hit the crossbar
att_post_left,Shots that hit the left post
att_post_right,Shots that hit the right post
att_rf_goal,Right footed goals
att_rf_target,Right footed shots that were saved by the goalkeeper (ie not blocked by an outfield player on the line)
att_rf_total,Total right footed shots
